month,Alameda County,Contra Costa County,Marin County,Napa County,San Francisco County,San Mateo County,Santa Clara County,Solano County,Sonoma County
2019-01-01,526.0,380.0,653.0,485.0,1045.0,854.0,691.0,268.0,411.0
2019-02-01,532.0,397.0,649.0,485.0,1049.0,897.0,711.0,268.0,410.0
2019-03-01,537.0,404.0,660.0,496.0,1050.0,907.0,723.0,268.0,432.0
2019-04-01,536.0,405.0,673.0,523.0,1051.0,920.0,718.0,271.0,448.0
2019-05-01,538.0,407.0,678.0,546.0,1076.0,933.0,716.0,274.0,454.0
2019-06-01,540.0,402.0,671.0,546.0,1076.0,919.0,704.0,269.0,457.0
2019-07-01,533.0,401.0,683.0,534.0,1070.0,906.0,697.0,268.0,449.0
2019-08-01,532.0,401.0,675.0,536.0,1065.0,896.0,698.0,270.0,443.0
2019-09-01,532.0,400.0,674.0,546.0,1062.0,901.0,696.0,269.0,440.0
2019-10-01,534.0,400.0,673.0,553.0,1061.0,908.0,692.0,269.0,437.0
2019-11-01,537.0,400.0,668.0,564.0,1080.0,916.0,691.0,269.0,438.0
2019-12-01,523.0,390.0,659.0,555.0,1147.0,918.0,677.0,267.0,440.0
2020-01-01,523.0,381.0,675.0,544.0,1153.0,922.0,680.0,268.0,435.0
2020-02-01,529.0,397.0,682.0,543.0,1161.0,931.0,707.0,271.0,431.0
2020-03-01,540.0,417.0,688.0,558.0,1130.0,930.0,747.0,277.0,435.0
2020-04-01,549.0,408.0,673.0,531.0,1123.0,938.0,743.0,277.0,426.0
2020-05-01,551.0,429.0,697.0,536.0,1136.0,939.0,748.0,276.0,427.0
2020-06-01,555.0,444.0,698.0,574.0,1132.0,944.0,752.0,280.0,429.0
2020-07-01,564.0,446.0,700.0,601.0,1120.0,929.0,754.0,284.0,433.0
2020-08-01,566.0,449.0,702.0,653.0,1091.0,922.0,761.0,286.0,429.0
2020-09-01,567.0,448.0,727.0,693.0,1086.0,924.0,759.0,287.0,444.0
2020-10-01,579.0,456.0,723.0,701.0,1066.0,921.0,773.0,288.0,454.0
2020-11-01,573.0,460.0,727.0,708.0,1062.0,918.0,767.0,291.0,448.0
2020-12-01,581.0,456.0,735.0,738.0,1059.0,909.0,763.0,296.0,449.0
2021-01-01,591.0,456.0,701.0,692.0,1075.0,916.0,762.0,300.0,450.0
2021-02-01,595.0,469.0,696.0,675.0,1051.0,936.0,783.0,309.0,453.0
2021-03-01,604.0,485.0,715.0,663.0,1062.0,944.0,801.0,316.0,461.0
2021-04-01,612.0,487.0,764.0,662.0,1050.0,957.0,788.0,319.0,476.0
2021-05-01,620.0,499.0,757.0,724.0,1055.0,957.0,803.0,324.0,486.0
2021-06-01,619.0,497.0,766.0,715.0,1045.0,959.0,809.0,330.0,483.0
