date,value,value_rolling_12m
2016-07-01,5636,5636.0
2016-08-01,5514,5575.0
2016-09-01,5646,5598.666666666667
2016-10-01,5463,5564.75
2016-11-01,4579,5367.6
2016-12-01,2987,4970.833333333333
2017-01-01,2736,4651.571428571428
2017-02-01,3012,4446.625
2017-03-01,3378,4327.888888888889
2017-04-01,3833,4278.4
2017-05-01,4300,4280.363636363636
2017-06-01,4532,4301.333333333333
2017-07-01,4418,4199.833333333333
2017-08-01,4152,4086.3333333333335
2017-09-01,4563,3996.0833333333335
2017-10-01,4348,3903.1666666666665
2017-11-01,3682,3828.4166666666665
2017-12-01,2376,3777.5
2018-01-01,2292,3740.5
2018-02-01,2714,3715.6666666666665
2018-03-01,3120,3694.1666666666665
2018-04-01,3618,3676.25
2018-05-01,4068,3656.9166666666665
2018-06-01,4490,3653.4166666666665
2018-07-01,4800,3685.25
2018-08-01,4915,3748.8333333333335
2018-09-01,5955,3864.8333333333335
2018-10-01,6153,4015.25
2018-11-01,5842,4195.25
2018-12-01,4174,4345.083333333333
2019-01-01,3564,4451.083333333333
2019-02-01,4085,4565.333333333333
2019-03-01,4500,4680.333333333333
2019-04-01,4892,4786.5
2019-05-01,5466,4903.0
2019-06-01,5924,5022.5
2019-07-01,5828,5108.166666666667
2019-08-01,5897,5190.0
2019-09-01,6010,5194.583333333333
2019-10-01,6068,5187.5
2019-11-01,4955,5113.583333333333
2019-12-01,2986,5014.583333333333
2020-01-01,2560,4930.916666666667
2020-02-01,3087,4847.75
2020-03-01,3526,4766.583333333333
2020-04-01,3418,4643.75
2020-05-01,4582,4570.083333333333
2020-06-01,4951,4489.0
2020-07-01,5061,4425.083333333333
2020-08-01,5204,4367.333333333333
2020-09-01,5403,4316.75
2020-10-01,5808,4295.083333333333
2020-11-01,5168,4312.833333333333
2020-12-01,3713,4373.416666666667
2021-01-01,3034,4412.916666666667
2021-02-01,3230,4424.833333333333
2021-03-01,3372,4412.0
2021-04-01,3458,4415.333333333333
2021-05-01,3498,4325.0
2021-06-01,3899,4237.333333333333
2021-07-01,4243,4169.166666666667
2021-08-01,4265,4090.9166666666665
2021-09-01,4601,4024.0833333333335
2021-10-01,4567,3920.6666666666665
2021-11-01,3546,3785.5
2021-12-01,2328,3670.0833333333335
2022-01-01,2031,3586.5
2022-02-01,2480,3524.0
2022-03-01,3008,3493.6666666666665
2022-04-01,3395,3488.4166666666665
2022-05-01,4616,3581.5833333333335
2022-06-01,5681,3730.0833333333335
2022-07-01,6246,3897.0
2022-08-01,5970,4039.0833333333335
2022-09-01,5922,4149.166666666667
2022-10-01,6026,4270.75
2022-11-01,5366,4422.416666666667
2022-12-01,3655,4533.0
2023-01-01,2987,4612.666666666667
2023-02-01,3089,4663.416666666667
2023-03-01,3163,4676.333333333333
2023-04-01,3341,4671.833333333333
2023-05-01,3692,4594.833333333333
2023-06-01,3977,4452.833333333333
2023-07-01,4035,4268.583333333333
2023-08-01,4092,4112.083333333333
2023-09-01,4812,4019.5833333333335
2023-10-01,5052,3938.4166666666665
2023-11-01,4671,3880.5
2023-12-01,3094,3833.75
2024-01-01,2702,3810.0
2024-02-01,3028,3804.9166666666665
2024-03-01,3587,3840.25
2024-04-01,4354,3924.6666666666665
2024-05-01,5045,4037.4166666666665
2024-06-01,5541,4167.75
2024-07-01,5508,4290.5
2024-08-01,5374,4397.333333333333
2024-09-01,6139,4507.916666666667
2024-10-01,6122,4597.083333333333
2024-11-01,5386,4656.666666666667
2024-12-01,3529,4692.916666666667
2025-01-01,3347,4746.666666666667
2025-02-01,4056,4832.333333333333
2025-03-01,5138,4961.583333333333
2025-04-01,6208,5116.083333333333
2025-05-01,7080,5285.666666666667
2025-06-01,7196,5423.583333333333
2025-07-01,6682,5521.416666666667
2025-08-01,6320,5600.25
2025-09-01,6554,5634.833333333333
2025-10-01,6265,5646.75
