date,value,value_rolling_12m
2016-07-01,31.0,31.0
2016-08-01,33.0,32.0
2016-09-01,34.0,32.666666666666664
2016-10-01,34.0,33.0
2016-11-01,41.0,34.6
2016-12-01,50.0,37.166666666666664
2017-01-01,43.0,38.0
2017-02-01,26.0,36.5
2017-03-01,24.0,35.111111111111114
2017-04-01,23.0,33.9
2017-05-01,23.0,32.90909090909091
2017-06-01,29.0,32.583333333333336
2017-07-01,31.0,32.583333333333336
2017-08-01,31.0,32.416666666666664
2017-09-01,27.0,31.833333333333332
2017-10-01,31.0,31.583333333333332
2017-11-01,36.0,31.166666666666668
2017-12-01,43.0,30.583333333333332
2018-01-01,30.0,29.5
2018-02-01,19.0,28.916666666666668
2018-03-01,20.0,28.583333333333332
2018-04-01,22.0,28.5
2018-05-01,21.0,28.333333333333332
2018-06-01,24.0,27.916666666666668
2018-07-01,29.0,27.75
2018-08-01,29.0,27.583333333333332
2018-09-01,26.0,27.5
2018-10-01,31.0,27.5
2018-11-01,37.0,27.583333333333332
2018-12-01,50.0,28.166666666666668
2019-01-01,48.0,29.666666666666668
2019-02-01,26.0,30.25
2019-03-01,28.0,30.916666666666668
2019-04-01,26.0,31.25
2019-05-01,26.0,31.666666666666668
2019-06-01,31.0,32.25
2019-07-01,36.0,32.833333333333336
2019-08-01,36.0,33.416666666666664
2019-09-01,35.0,34.166666666666664
2019-10-01,36.0,34.583333333333336
2019-11-01,49.0,35.583333333333336
2019-12-01,66.0,36.916666666666664
2020-01-01,53.0,37.333333333333336
2020-02-01,23.0,37.083333333333336
2020-03-01,24.0,36.75
2020-04-01,38.0,37.75
2020-05-01,31.0,38.166666666666664
2020-06-01,31.0,38.166666666666664
2020-07-01,33.0,37.916666666666664
2020-08-01,36.0,37.916666666666664
2020-09-01,36.0,38.0
2020-10-01,34.0,37.833333333333336
2020-11-01,45.0,37.5
2020-12-01,56.0,36.666666666666664
2021-01-01,49.0,36.333333333333336
2021-02-01,27.0,36.666666666666664
2021-03-01,29.0,37.083333333333336
2021-04-01,29.0,36.333333333333336
2021-05-01,27.0,36.0
2021-06-01,27.0,35.666666666666664
2021-07-01,26.0,35.083333333333336
2021-08-01,29.0,34.5
2021-09-01,28.0,33.833333333333336
2021-10-01,30.0,33.5
2021-11-01,39.0,33.0
2021-12-01,47.0,32.25
2022-01-01,37.0,31.25
2022-02-01,18.0,30.5
2022-03-01,22.0,29.916666666666668
2022-04-01,23.0,29.416666666666668
2022-05-01,22.0,29.0
2022-06-01,24.0,28.75
2022-07-01,31.0,29.166666666666668
2022-08-01,36.0,29.75
2022-09-01,38.0,30.583333333333332
2022-10-01,37.0,31.166666666666668
2022-11-01,46.0,31.75
2022-12-01,61.0,32.916666666666664
2023-01-01,62.0,35.0
2023-02-01,33.0,36.25
2023-03-01,34.0,37.25
2023-04-01,31.0,37.916666666666664
2023-05-01,31.0,38.666666666666664
2023-06-01,32.0,39.333333333333336
2023-07-01,34.0,39.583333333333336
2023-08-01,33.0,39.333333333333336
2023-09-01,29.0,38.583333333333336
2023-10-01,35.0,38.416666666666664
2023-11-01,42.0,38.083333333333336
2023-12-01,58.0,37.833333333333336
2024-01-01,49.0,36.75
2024-02-01,29.0,36.416666666666664
2024-03-01,27.0,35.833333333333336
2024-04-01,28.0,35.583333333333336
2024-05-01,25.0,35.083333333333336
2024-06-01,31.0,35.0
2024-07-01,38.0,35.333333333333336
2024-08-01,37.0,35.666666666666664
2024-09-01,33.0,36.0
2024-10-01,38.0,36.25
2024-11-01,51.0,37.0
2024-12-01,64.0,37.5
2025-01-01,56.0,38.083333333333336
2025-02-01,30.0,38.166666666666664
2025-03-01,31.0,38.5
2025-04-01,33.0,38.916666666666664
2025-05-01,35.0,39.75
2025-06-01,40.0,40.5
2025-07-01,45.0,41.083333333333336
2025-08-01,45.0,41.75
2025-09-01,41.0,42.416666666666664
2025-10-01,42.0,42.75
