date,value,value_rolling_12m
2016-07-01,819900.0,819900.0
2016-08-01,796000.0,807950.0
2016-09-01,799450.0,805116.6666666666
2016-10-01,825000.0,810087.5
2016-11-01,805000.0,809070.0
2016-12-01,780620.0,804328.3333333334
2017-01-01,789500.0,802210.0
2017-02-01,845429.0,807612.375
2017-03-01,894000.0,817211.0
2017-04-01,899000.0,825389.9
2017-05-01,900444.0,832213.0
2017-06-01,902590.0,838077.75
2017-07-01,875000.0,842669.4166666666
2017-08-01,849500.0,847127.75
2017-09-01,874900.0,853415.25
2017-10-01,899000.0,859581.9166666666
2017-11-01,899000.0,867415.25
2017-12-01,879000.0,875613.5833333334
2018-01-01,843944.0,880150.5833333334
2018-02-01,898944.0,884610.1666666666
2018-03-01,949499.0,889235.0833333334
2018-04-01,987500.0,896610.0833333334
2018-05-01,996500.0,904614.75
2018-06-01,988000.0,911732.25
2018-07-01,929472.0,916271.5833333334
2018-08-01,890000.0,919646.5833333334
2018-09-01,899000.0,921654.9166666666
2018-10-01,899000.0,921654.9166666666
2018-11-01,890000.0,920904.9166666666
2018-12-01,849950.0,918484.0833333334
2019-01-01,831910.0,917481.25
2019-02-01,887013.0,916487.0
2019-03-01,916638.0,913748.5833333334
2019-04-01,947245.0,910394.0
2019-05-01,968750.0,908081.5
2019-06-01,960000.0,905748.1666666666
2019-07-01,927000.0,905542.1666666666
2019-08-01,919505.0,908000.9166666666
2019-09-01,936096.0,911092.25
2019-10-01,949500.0,915300.5833333334
2019-11-01,949000.0,920217.25
2019-12-01,899000.0,924304.75
2020-01-01,893625.0,929447.6666666666
2020-02-01,998000.0,938696.5833333334
2020-03-01,998944.0,945555.4166666666
2020-04-01,959490.0,946575.8333333334
2020-05-01,999900.0,949171.6666666666
2020-06-01,1080950.0,959250.8333333334
2020-07-01,1091500.0,972959.1666666666
2020-08-01,1050000.0,983833.75
2020-09-01,1052500.0,993534.0833333334
2020-10-01,1073333.0,1003853.5
2020-11-01,1049450.0,1012224.3333333334
2020-12-01,998462.0,1020512.8333333334
2021-01-01,989000.0,1028460.75
2021-02-01,999500.0,1028585.75
2021-03-01,1014498.0,1029881.9166666666
2021-04-01,1049500.0,1037382.75
2021-05-01,1079999.0,1044057.6666666666
2021-06-01,1067000.0,1042895.1666666666
2021-07-01,999000.0,1035186.8333333334
2021-08-01,995000.0,1030603.5
2021-09-01,993950.0,1025724.3333333334
2021-10-01,997000.0,1019363.25
2021-11-01,984450.0,1013946.5833333334
2021-12-01,953225.0,1010176.8333333334
2022-01-01,949000.0,1006843.5
2022-02-01,992000.0,1006218.5
2022-03-01,1047500.0,1008968.6666666666
2022-04-01,1098000.0,1013010.3333333334
2022-05-01,1124000.0,1016677.0833333334
2022-06-01,1146250.0,1023281.25
2022-07-01,1098000.0,1031531.25
2022-08-01,1043073.0,1035537.3333333334
2022-09-01,1089500.0,1043499.8333333334
2022-10-01,1090000.0,1051249.8333333333
2022-11-01,1037000.0,1055629.0
2022-12-01,993420.0,1058978.5833333333
2023-01-01,978500.0,1061436.9166666667
2023-02-01,1002500.0,1062311.9166666667
2023-03-01,1081250.0,1065124.4166666667
2023-04-01,1150000.0,1069457.75
2023-05-01,1178250.0,1073978.5833333333
2023-06-01,1150000.0,1074291.0833333333
2023-07-01,1100000.0,1074457.75
2023-08-01,1049447.0,1074988.9166666667
2023-09-01,1095000.0,1075447.25
2023-10-01,1098000.0,1076113.9166666667
2023-11-01,1067000.0,1078613.9166666667
2023-12-01,998000.0,1078995.5833333333
2024-01-01,944475.0,1076160.1666666667
2024-02-01,989444.0,1075072.1666666667
2024-03-01,999000.0,1068218.0
2024-04-01,1026500.0,1057926.3333333333
2024-05-01,1045750.0,1046884.6666666666
2024-06-01,999000.0,1034301.3333333334
2024-07-01,995000.0,1025551.3333333334
2024-08-01,969000.0,1018847.4166666666
2024-09-01,997500.0,1010722.4166666666
2024-10-01,994000.0,1002055.75
2024-11-01,969498.0,993930.5833333334
2024-12-01,889500.0,984888.9166666666
2025-01-01,882000.0,979682.6666666666
2025-02-01,899944.0,972224.3333333334
2025-03-01,950000.0,968141.0
2025-04-01,995000.0,965516.0
2025-05-01,998800.0,961603.5
2025-06-01,998500.0,961561.8333333334
2025-07-01,990000.0,961145.1666666666
2025-08-01,959000.0,960311.8333333334
2025-09-01,975000.0,958436.8333333334
2025-10-01,954500.0,955145.1666666666
