date,value,value_rolling_12m
2016-07-01,478.0,478.0
2016-08-01,467.0,472.5
2016-09-01,474.0,473.0
2016-10-01,483.0,475.5
2016-11-01,482.0,476.8
2016-12-01,470.0,475.6666666666667
2017-01-01,476.0,475.7142857142857
2017-02-01,502.0,479.0
2017-03-01,514.0,482.8888888888889
2017-04-01,518.0,486.4
2017-05-01,519.0,489.3636363636364
2017-06-01,518.0,491.75
2017-07-01,507.0,494.1666666666667
2017-08-01,498.0,496.75
2017-09-01,517.0,500.3333333333333
2017-10-01,527.0,504.0
2017-11-01,525.0,507.5833333333333
2017-12-01,512.0,511.0833333333333
2018-01-01,509.0,513.8333333333334
2018-02-01,537.0,516.75
2018-03-01,549.0,519.6666666666666
2018-04-01,561.0,523.25
2018-05-01,564.0,527.0
2018-06-01,560.0,530.5
2018-07-01,543.0,533.5
2018-08-01,535.0,536.5833333333334
2018-09-01,554.0,539.6666666666666
2018-10-01,558.0,542.25
2018-11-01,549.0,544.25
2018-12-01,540.0,546.5833333333334
2019-01-01,534.0,548.6666666666666
2019-02-01,551.0,549.8333333333334
2019-03-01,552.0,550.0833333333334
2019-04-01,548.0,549.0
2019-05-01,547.0,547.5833333333334
2019-06-01,546.0,546.4166666666666
2019-07-01,541.0,546.25
2019-08-01,546.0,547.1666666666666
2019-09-01,557.0,547.4166666666666
2019-10-01,569.0,548.3333333333334
2019-11-01,574.0,550.4166666666666
2019-12-01,547.0,551.0
2020-01-01,547.0,552.0833333333334
2020-02-01,589.0,555.25
2020-03-01,596.0,558.9166666666666
2020-04-01,568.0,560.5833333333334
2020-05-01,597.0,564.75
2020-06-01,629.0,571.6666666666666
2020-07-01,666.0,582.0833333333334
2020-08-01,680.0,593.25
2020-09-01,708.0,605.8333333333334
2020-10-01,716.0,618.0833333333334
2020-11-01,711.0,629.5
2020-12-01,695.0,641.8333333333334
2021-01-01,684.0,653.25
2021-02-01,705.0,662.9166666666666
2021-03-01,707.0,672.1666666666666
2021-04-01,707.0,683.75
2021-05-01,711.0,693.25
2021-06-01,701.0,699.25
2021-07-01,691.0,701.3333333333334
2021-08-01,680.0,701.3333333333334
2021-09-01,695.0,700.25
2021-10-01,705.0,699.3333333333334
2021-11-01,710.0,699.25
2021-12-01,703.0,699.9166666666666
2022-01-01,702.0,701.4166666666666
2022-02-01,733.0,703.75
2022-03-01,742.0,706.6666666666666
2022-04-01,754.0,710.5833333333334
2022-05-01,758.0,714.5
2022-06-01,754.0,718.9166666666666
2022-07-01,731.0,722.25
2022-08-01,711.0,724.8333333333334
2022-09-01,719.0,726.8333333333334
2022-10-01,720.0,728.0833333333334
2022-11-01,709.0,728.0
2022-12-01,685.0,726.5
2023-01-01,677.0,724.4166666666666
2023-02-01,705.0,722.0833333333334
2023-03-01,727.0,720.8333333333334
2023-04-01,743.0,719.9166666666666
2023-05-01,749.0,719.1666666666666
2023-06-01,749.0,718.75
2023-07-01,728.0,718.5
2023-08-01,709.0,718.3333333333334
2023-09-01,728.0,719.0833333333334
2023-10-01,730.0,719.9166666666666
2023-11-01,714.0,720.3333333333334
2023-12-01,689.0,720.6666666666666
2024-01-01,670.0,720.0833333333334
2024-02-01,701.0,719.75
2024-03-01,719.0,719.0833333333334
2024-04-01,723.0,717.4166666666666
2024-05-01,717.0,714.75
2024-06-01,703.0,710.9166666666666
2024-07-01,688.0,707.5833333333334
2024-08-01,674.0,704.6666666666666
2024-09-01,683.0,700.9166666666666
2024-10-01,680.0,696.75
2024-11-01,670.0,693.0833333333334
2024-12-01,644.0,689.3333333333334
2025-01-01,632.0,686.1666666666666
2025-02-01,650.0,681.9166666666666
2025-03-01,670.0,677.8333333333334
2025-04-01,683.0,674.5
2025-05-01,688.0,672.0833333333334
2025-06-01,677.0,669.9166666666666
2025-07-01,661.0,667.6666666666666
2025-08-01,644.0,665.1666666666666
2025-09-01,655.0,662.8333333333334
2025-10-01,652.0,660.5
