"service_name","service_subtype","service_details","count_distinct_service_request_id"
"Street and Sidewalk Cleaning","garbage_and_debris","other_loose_garbage_debris_yard_waste","1567"
"Street and Sidewalk Cleaning","garbage_and_debris","city_garbage_can_overflowing","1329"
"Parking Enforcement","other_illegal_parking",,"771"
"Street and Sidewalk Cleaning","garbage_and_debris","other_bagged_boxed_contained_garbage","736"
"Encampment","encampment",,"734"
"Street and Sidewalk Cleaning","garbage_and_debris","human_waste_or_urine","685"
"Parking Enforcement","blocking_driveway_cite_only",,"595"
"Parking Enforcement","parking_on_sidewalk",,"577"
"Street and Sidewalk Cleaning","garbage_and_debris","furniture","477"
"Parking Enforcement","abandoned_vehicle",,"325"
"Parking Enforcement","blocking_driveway_cite_tow",,"319"
"Graffiti Public","not_offensive","pole","234"
"Street and Sidewalk Cleaning","garbage_and_debris","mattress","152"
"Graffiti Public","not_offensive","other","151"
"Street and Sidewalk Cleaning","garbage_and_debris","refrigerator_appliance","131"
"Graffiti Public","not_offensive","sidewalk_in_front_of_property","124"
"Noise","other_excessive_noise",,"111"
"Street and Sidewalk Cleaning","garbage_and_debris","electronics","107"
"Graffiti Private","not_offensive","building_commercial","101"
"Graffiti Public","not_offensive","signal_box","87"
"Illegal Postings","affixed_improperly",,"84"
"Encampment",,,"84"
"Graffiti Public","not_offensive","mail_box","83"
"Sewer","sewage_back-up_discharge","from_side_sewer_vent","82"
"Street and Sidewalk Cleaning","garbage_and_debris","glass","82"
"General Request","public_works","bsm request_for_service","73"
"Graffiti Public","offensive","pole","69"
"Graffiti Private","not_offensive","building_other","66"
"General Request","public_works","bsm complaint","66"
"Graffiti Private","offensive","building_commercial","64"
"MTA Parking Traffic Signs Normal Priority","other","defaced ok","55"
"Graffiti Public","not_offensive","city_receptacle","55"
"Sidewalk and Curb","pavement_defect",,"52"
"General Request","public_works","bses request_for_service","51"
"Blocked Street and Sidewalk","blocked_sidewalk","scooter_without_license_plate","49"
"Sidewalk and Curb","other",,"49"
"Litter Receptacle Maintenance","toters_left_out_24x7",,"48"
"Street and Sidewalk Cleaning","garbage_and_debris","shopping_cart","47"
"Graffiti Private","offensive","building_residential","44"
"Tree Maintenance","overgrown_tree","other","44"
"Sidewalk and Curb","sidewalk_defect","lifted_sidewalk_other","44"
"Sidewalk and Curb","curb_or_curb_ramp_defect",,"44"
"Sidewalk and Curb","sidewalk_defect","lifted_sidewalk_tree_roots","44"
"Street Defect","pavement_defect",,"37"
"Graffiti Public","offensive","signal_box","36"
"Street and Sidewalk Cleaning","garbage_and_debris","needles_less_than_20","35"
"Tree Maintenance","damaged_tree","damaged_vandalism","34"
"General Request","municipal_transportation_agency","paint_shop request_for_service","34"
"Graffiti Public","not_offensive","transit_shelter_platform","34"
"Illegal Postings","posted_on_traffic_light",,"33"
"Sidewalk and Curb","sidewalk_defect","collapsed_sidewalk","33"
"Litter Receptacle Maintenance","other_including_abandoned_toter",,"33"
"Graffiti Private","not_offensive","building_residential","33"
"Sewer","other",,"33"
"Graffiti Public","offensive","sidewalk_in_front_of_property","33"
"Street and Sidewalk Cleaning","garbage_and_debris","oil_paint_other_liquid_spill_wet","33"
"Graffiti Public","offensive","other","33"
"Muni Employee Feedback","complaint_pass_ups_denial_inattention","waiting_at_stop","32"
"Graffiti Public","not_offensive","att_property","31"
"Blocked Street and Sidewalk","blocked_sidewalk","display_merchandise","30"
"Damage Property","benches_on_sidewalk",,"30"
"Damage Property","traffic_signal",,"30"
"Noise","amplified_sound_electronics",,"29"
"General Request","public_health","environmental_health request_for_service","28"
"General Request","municipal_transportation_agency","transportation_engineering request_for_service","27"
"Parking Enforcement","double_parking",,"26"
"Street and Sidewalk Cleaning","garbage_and_debris","transit_shelter_platform","26"
"Graffiti Public","not_offensive","sidewalk_structure","26"
"Graffiti Public","not_offensive","parking_meter","24"
"Tree Maintenance","damaged_tree","fallen_tree","23"
"RPD General","structural_maintenance","recreation_equipment","22"
"General Request","municipal_transportation_agency","scooters request_for_service","21"
"General Request","municipal_transportation_agency","parking_enforcement request_for_service","21"
"Damage Property","transit_shelter_platform",,"21"
"Illegal Postings","posted_over_70_days",,"20"
"Graffiti Public","not_offensive","fire_hydrant","20"
"Tree Maintenance","damaged_tree","about_to_fall","19"
"Sidewalk and Curb","missing_side_sewer_vent_cover",,"19"
"Graffiti Public","offensive","att_property","19"
"Graffiti Public","not_offensive","bike_rack","19"
"Litter Receptacle Maintenance","remove_garbage_can",,"18"
"Muni Employee Feedback","complaint_discourteous_unprofessional","discourteous_rude","18"
"RPD General","structural_maintenance","graffiti","18"
"Illegal Postings","multiple_postings",,"17"
"RPD General","park_patrol","other","17"
"Shared Spaces Request","""sidewalk""","""other""","16"
"RPD General","park_patrol","park_rules_violation","16"
"Street and Sidewalk Cleaning","garbage_and_debris","bag_and_tag","16"
"Noise","major_event_venue",,"16"
"Graffiti Public","offensive","mail_box","16"
"Graffiti Public","offensive","street","16"
"Muni Employee Feedback","praise_employee","praise_employee","15"
"Sewer","water_leak","fire_hydrant","15"
"Graffiti Public","not_offensive","street","15"
"Graffiti Public","not_offensive","fire_police_callbox","14"
"Street Defect","sidewalk_defect","lifted_sidewalk_tree_roots","13"
"RPD General","park_services_area","trash_dumping","13"
"Blocked Street and Sidewalk","blocked_sidewalk","construction_equipment","12"
